Drop_ID,Item_ID,Item_Rate,Essence_Rate,minQt_powder,maxQt_powder
110001,20001,0.35,0,10,50
110002,20002,0.35,0,15,55
110003,20003,0.35,0,20,60
110004,20004,0.35,0,25,65
110005,20005,0.35,0,30,70
110006,20006,0.35,0,35,75
110007,20007,0.35,0,40,80
110008,20008,0.35,0.01,45,85
110009,20009,0.35,0.001,50,90
110010,20010,0.35,0.002,55,95
110011,20011,0,0,0,0
110012,20012,0,0,0,0
110013,20013,0,0,0,0
110014,20014,0,0,0,0
110015,20015,0,0,0,0
110016,20016,0,0,0,0
110017,20017,0,0,0,0
110018,20018,0,0,0,0
110019,20019,0,0,0,0
110020,20020,0,0,0,0
110021,20021,0,0,0,0
110022,20022,0,0,0,0
110023,20023,0,0,0,0
110024,20024,0,0,0,0
110025,20025,0,0,0,0
110026,20026,0,0,0,0
110027,20027,0,0,0,0
110028,20028,0,0,0,0
110029,20029,0,0,0,0
110030,20030,0,0,0,0
110031,20031,0,0,0,0
110032,20032,0,0,0,0
110033,20033,0,0,0,0
110034,20034,0,0,0,0
110035,20035,0,0,0,0
110036,20036,0,0,0,0
110037,20037,0,0,0,0
110038,20038,0,0,0,0
110039,20039,0,0,0,0
110040,20040,0,0,0,0
110041,20041,0,0,0,0
110042,20042,0,0,0,0
110043,20043,0,0,0,0
110044,20044,0,0,0,0
110045,20045,0,0,0,0
110046,20046,0,0,0,0
110047,20047,0,0,0,0
110048,20048,0,0,0,0
110049,20049,0,0,0,0
110050,20050,0,0,0,0
110051,20051,0,0,0,0
110052,20052,0,0,0,0
110053,20053,0,0,0,0
110054,20054,0,0,0,0
110055,20055,0,0,0,0
110056,20056,0,0,0,0
110057,20057,0,0,0,0
110058,20058,0,0,0,0
110059,20059,0,0,0,0
110060,20060,0,0,0,0
110061,20061,0,0,0,0
110062,20062,0,0,0,0
110063,20063,0,0,0,0
110064,20064,0,0,0,0
110065,20065,0,0,0,0
110066,20066,0,0,0,0
110067,20067,0,0,0,0
110068,20068,0,0,0,0
110069,20069,0,0,0,0
110070,20070,0,0,0,0
110071,20071,0,0,0,0
110072,20072,0,0,0,0
110073,20073,0,0,0,0
110074,20074,0,0,0,0
110075,20075,0,0,0,0
110076,20076,0,0,0,0
110077,20077,0,0,0,0
110078,20078,0,0,0,0
110079,20079,0,0,0,0
110080,20080,0,0,0,0
110081,20081,0,0,0,0
110082,20082,0,0,0,0
110083,20083,0,0,0,0
110084,20084,0,0,0,0
110085,30001,0,0,0,0
110086,30002,0,0,0,0
110087,30003,0,0,0,0
110088,30004,0,0,0,0
110089,30005,0,0,0,0
110090,30006,0,0,0,0
110091,30007,0,0,0,0
110092,30008,0,0,0,0
110093,30009,0,0,0,0
110094,30010,0,0,0,0
110095,30011,0,0,0,0
110096,30012,0,0,0,0
110097,30013,0,0,0,0
110098,30014,0,0,0,0
110099,30015,0,0,0,0
110100,30016,0,0,0,0
110101,30017,0,0,0,0
110102,30018,0,0,0,0
110103,30019,0,0,0,0
110104,30020,0,0,0,0
110105,30021,0,0,0,0
110106,30022,0,0,0,0
110107,30023,0,0,0,0
110108,30024,0,0,0,0
110109,30025,0,0,0,0
110110,30026,0,0,0,0
110111,30027,0,0,0,0
110112,30028,0,0,0,0
110113,30029,0,0,0,0
110114,30030,0,0,0,0
110115,30031,0,0,0,0
110116,30032,0,0,0,0
110117,30033,0,0,0,0
110118,30034,0,0,0,0
110119,30035,0,0,0,0
110120,30036,0,0,0,0
110121,30037,0,0,0,0
110122,30038,0,0,0,0
110123,30039,0,0,0,0
110124,30040,0,0,0,0
110125,30041,0,0,0,0
110126,30042,0,0,0,0
110127,30043,0,0,0,0
110128,30044,0,0,0,0
110129,30045,0,0,0,0
110130,30046,0,0,0,0
110131,30047,0,0,0,0
110132,30048,0,0,0,0
110133,30049,0,0,0,0
110134,30050,0,0,0,0
110135,30051,0,0,0,0
110136,30052,0,0,0,0
110137,30053,0,0,0,0
110138,30054,0,0,0,0
110139,30055,0,0,0,0
110140,30056,0,0,0,0
110141,30057,0,0,0,0
110142,30058,0,0,0,0
110143,30059,0,0,0,0
110144,30060,0,0,0,0
110145,30061,0,0,0,0
110146,30062,0,0,0,0
110147,30063,0,0,0,0
110148,30064,0,0,0,0
110149,30065,0,0,0,0
110150,30066,0,0,0,0
110151,30067,0,0,0,0
110152,30068,0,0,0,0
110153,30069,0,0,0,0
110154,30070,0,0,0,0
110155,30071,0,0,0,0
110156,30072,0,0,0,0
110157,30073,0,0,0,0
110158,30074,0,0,0,0
110159,30075,0,0,0,0
110160,30076,0,0,0,0
110161,30077,0,0,0,0
110162,30078,0,0,0,0
110163,30079,0,0,0,0
110164,30080,0,0,0,0
110165,30081,0,0,0,0
110166,30082,0,0,0,0
110167,30083,0,0,0,0
110168,30084,0,0,0,0
110169,30085,0,0,0,0
110170,30086,0,0,0,0
110171,30087,0,0,0,0
110172,30088,0,0,0,0
110173,30089,0,0,0,0
110174,30090,0,0,0,0
110175,30091,0,0,0,0
110176,30092,0,0,0,0
110177,30093,0,0,0,0
110178,30094,0,0,0,0
110179,30095,0,0,0,0
110180,30096,0,0,0,0
110181,30097,0,0,0,0
110182,30098,0,0,0,0
110183,30099,0,0,0,0
110184,30100,0,0,0,0
110185,30101,0,0,0,0
110186,30102,0,0,0,0
110187,30103,0,0,0,0
110188,30104,0,0,0,0
110189,30105,0,0,0,0
